Rw	R	Tu	Tl	Hu	Hl	L	Kw	Altered
0.067660971413	4920.41036701	71996.7450385	76.5040338429	1013.54156736	714.668676512	1202.14871463	11430.1290785	False
0.0644157457799	18727.6825631	64460.025544	85.3173466525	1089.51784996	745.353531359	1172.96674938	10321.9719319	False
0.128474812764	37171.6741305	75637.1318335	101.115383667	1028.32943059	703.848969286	1635.22387827	11836.6344751	False
0.0794556678663	30246.2705144	73115.5117253	113.93881252	1067.48802853	769.668168134	1513.55042818	10897.8466169	False
0.127976522677	47400.5347145	82542.766307	92.4072366286	1024.00898761	705.793295071	1647.31432034	10779.7835097	False
0.126017984541	43251.0254375	85783.1717546	110.282442955	995.226884851	714.975755337	1231.81059541	11683.5922854	False
0.0558619604894	18033.6368664	93298.3200566	88.069640745	995.50892877	746.641177699	1431.11125882	10230.31571	False
0.0705349390573	36645.0770592	104674.966126	112.15890845	1039.5151692	753.602469915	1375.39372671	10933.9299652	False
0.131629895633	34920.7617078	115010.842557	63.1598118948	1059.25234342	819.557851804	1283.67165904	11582.3073227	False
0.0797073506415	364.507990198	78805.4025243	80.8456005384	1018.13387175	761.420267357	1217.74138194	11323.7361976	False
0.112604887274	17818.4469497	78085.9256435	95.2564922189	1055.14656448	753.104538801	1270.55121911	10025.3994319	False
0.127093863452	30173.3697579	63099.3398898	77.0097089931	1023.93214849	799.203822187	1238.39520862	10256.3107978	False
0.0500105808191	37729.4292699	105000.960731	114.364666156	1041.73229729	754.46806397	1340.14013221	11161.5586926	False
0.145449565665	25781.9163673	102347.782579	69.8208391135	999.942573457	786.883554479	1274.82569294	11993.6247431	False
0.0563020868736	36133.3764055	70386.2747836	67.1082184873	1058.41524612	818.509736953	1644.54363017	10406.0868859	False
0.12758222491	5176.78301043	107552.030588	67.3416646235	1090.59159224	819.278659282	1490.9106748	10974.6286301	False
0.123675354284	8085.58378414	84478.5274732	111.823751966	1091.00650948	784.03040966	1252.60797196	10147.9651537	False
0.113287858958	7702.73095941	67083.1124305	109.62983388	1013.72820555	817.462354465	1418.05904208	10182.8160173	False
0.069948359473	24332.0546805	101991.488641	110.215916451	1099.3127968	809.116477298	1201.09530001	11130.467172	False
0.081628496178	6398.74139524	85972.5899804	89.8973530395	1001.33120589	818.082478425	1577.72554629	10513.6475233	False
0.115825523646	49463.2482848	104088.465728	90.4801402243	1095.29482418	744.439156329	1393.28160646	10803.1470308	False
0.145814531421	16638.5015643	66546.397474	102.289116564	1040.89625722	746.464451933	1227.33460148	11189.0523243	False
0.0654999068848	18512.4558836	80550.1623482	94.7714981016	1063.37391866	720.165516407	1291.90517365	11367.3094175	False
0.131318884908	47559.7365353	63121.5844956	71.8821485279	1082.53895394	736.844671339	1493.24812915	10336.241117	False
0.100231329083	20921.3204723	96219.3498552	110.736890283	1002.71987397	720.756215392	1298.45136426	10604.6866152	False
0.0776336763624	40743.8149056	90181.116008	76.6066362379	1081.93324471	812.616388251	1657.92632082	11731.6418531	False
0.0618185151388	18622.1618887	64272.6223284	83.029074708	1046.70435507	734.774388278	1282.56887297	11248.7284774	False
0.0703707722934	31381.2440185	66448.0587091	74.1925159329	1103.61110499	752.499892291	1551.51785582	11197.7668456	False
0.0841461601656	12169.238625	103944.807944	71.4875000615	1053.0688855	740.312203074	1597.77064494	10469.4633888	False
0.0812520218822	629.308980168	69721.2989179	72.9721713821	1040.72501896	722.239848407	1215.16635486	11360.9770367	False
0.0528980653129	40778.6539444	94859.5747058	106.276776057	1095.06902269	732.774330139	1438.96891706	10744.6811999	False
0.128137134446	35336.6393993	94422.0248395	70.0996118598	1058.52549578	752.825792314	1297.18475113	9959.65836022	False
0.0650208143422	10397.7629667	70597.0431592	78.5263835689	1048.92346705	700.056488663	1659.2803576	11768.9596701	False
0.0789094262912	11815.469029	110529.119453	106.57742943	1059.95048563	719.762870944	1325.11788639	10123.8894905	False
0.146721479674	31229.804596	103326.414419	82.2589232765	1050.17226902	813.283567155	1522.83267459	11202.6513244	False
0.114526551344	20888.0777804	99316.9352446	91.1913697639	1057.58375507	728.865734513	1269.47515684	11040.4748281	False
0.144206594682	36215.3008099	72240.2479906	76.0968415427	1080.1318385	739.376945801	1512.95040039	11424.6293054	False
0.0517821203959	2504.24193967	112505.359622	72.8696954907	1019.18453409	779.394977018	1254.82469849	10793.3408455	False
0.098097534003	32663.3712882	69909.08711	95.1498508477	1107.37700493	736.373584749	1345.16235158	11030.8206327	False
0.116385331408	12627.186726	100388.675402	88.2004309855	1071.90771951	756.19829291	1461.13685658	11542.9567167	False
0.0841676469453	24667.1492019	77774.6377931	111.361576353	1059.61654026	793.270705781	1211.65621455	10771.5873328	False
0.129158376707	16188.4825062	107920.21452	72.7698024245	1012.7281955	805.298942433	1136.02027895	11970.8003457	False
0.0684306505231	8709.68246455	106810.031669	84.2387253558	1028.58879979	781.126391865	1268.10348007	11896.799375	False
0.0628450120348	20681.5030464	95197.3040305	98.5510777604	1107.18124874	740.244044784	1569.14072957	11769.5304796	False
0.0561995549174	46711.9367794	95581.0744622	90.0009005719	1101.60067319	717.277736966	1573.82762037	9941.94450025	False
0.0857195520714	38560.4428567	110445.777382	68.480386104	1002.47405005	785.127641393	1452.08654639	10588.193273	False
0.126791291936	26432.478554	74890.7887799	65.2988071431	991.565081713	710.698035059	1168.14510139	11714.229718	False
0.147756224721	41914.2237639	82887.9293101	85.2129825998	1063.80711683	795.743154393	1666.40200789	10530.0612155	False
0.121824215992	44190.0815027	67227.2751637	96.8644184563	1026.81945259	759.307514702	1234.1167233	9928.88485196	False
0.0639428609793	25038.2200568	83817.5398879	115.567467271	1099.25511564	738.864669184	1506.84651683	11049.391406	False
0.104672191838	7576.94777428	65131.7174958	68.3583550108	1102.84189511	775.187879212	1610.81035093	11144.3979701	False
0.144686522082	20437.6650095	73141.2667027	80.054511762	1005.40050843	816.444365325	1526.0747475	12043.7481061	False
0.105157298956	17738.9536377	90282.424053	114.632162508	1091.8312145	717.617312501	1398.85283944	10383.9488049	False
0.112804591298	20490.6356249	65260.0772296	71.1233228651	1002.0424667	795.362851065	1483.13685169	10738.6361174	False
0.0908530423045	38484.1614081	69091.0022765	85.0699158218	1096.48228625	715.634332292	1170.52458527	10577.8535149	False
0.124564322087	26646.9308297	86272.5257434	80.1336327955	1033.93499697	814.890765965	1164.05747124	10750.3168083	False
0.128777434108	10755.3240927	108751.830221	64.6647994247	993.634329061	730.932247311	1287.61466124	11467.8870232	False
0.0822176277561	20301.3909924	113460.382339	66.7442730382	1064.98822981	784.56144292	1126.87985612	10776.5533579	False
0.106588971788	19042.8355843	90732.3169827	102.193753079	998.471682148	801.142765923	1622.93747168	11969.6592238	False
0.130166247571	35135.9941363	87990.7862735	85.0230580912	1061.92026	731.716604848	1240.04241624	10167.0907588	False
0.0672780650726	17603.0721598	70483.4976854	114.486088276	1085.3413734	791.525345602	1265.93017036	11279.9811758	False
0.125536308385	49021.1221158	87115.2961733	99.2546601618	1078.48831904	773.139796518	1212.64586739	11722.0367999	False
